ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
1569;20100419;1.53;1.186;0.625
1570;20100420;1.526;1.183;0.626
1571;20100421;1.521;1.177;0.625
1572;20100422;1.524;1.179;0.623
1573;20100423;1.523;1.18;0.619
1574;20100424;1.528;1.183;0.62
1575;20100425;1.529;1.185;0.619
1576;20100426;1.53;1.185;0.622
1577;20100427;1.535;1.19;0.617
1578;20100428;1.538;1.193;0.618
1579;20100429;1.537;1.194;0.617
1580;20100430;1.538;1.195;0.618
1581;20100501;1.537;1.194;0.619
1582;20100502;1.54;1.196;0.612
1583;20100503;1.54;1.197;0.619
1584;20100504;1.543;1.204;0.618
1585;20100505;1.548;1.212;0.614
1586;20100506;1.548;1.213;0.617
1587;20100507;1.543;1.207;0.618
1588;20100508;1.535;1.199;0.616
1589;20100509;1.534;1.199;0.615
1590;20100510;1.535;1.2;0.62
1591;20100511;1.532;1.196;0.617
1592;20100512;1.531;1.195;0.621
1593;20100513;1.53;1.196;0.621
1594;20100514;1.531;1.198;0.619
1595;20100515;1.533;1.198;0.619
1596;20100516;1.533;1.197;0.621
1597;20100517;1.533;1.197;0.621
1598;20100518;1.531;1.196;0.618
1599;20100519;1.527;1.192;0.625
1600;20100520;1.52;1.189;0.63
1601;20100521;1.518;1.186;0.625
1602;20100522;1.505;1.173;0.627
1603;20100523;1.505;1.172;0.631
1604;20100524;1.504;1.172;0.626
1605;20100525;1.505;1.172;0.628
1606;20100526;1.498;1.165;0.626
1607;20100527;1.497;1.165;0.624
1608;20100528;1.5;1.166;0.626
1609;20100529;1.506;1.173;0.626
1610;20100530;1.504;1.173;0.629
1611;20100531;1.505;1.174;0.624
1612;20100601;1.508;1.176;0.625
1613;20100602;1.508;1.177;0.622
1614;20100603;1.509;1.176;0.619
1615;20100604;1.509;1.178;0.622
1616;20100605;1.518;1.184;0.619
1617;20100606;1.518;1.185;0.622
1618;20100607;1.519;1.186;0.623
1619;20100608;1.519;1.186;0.621
1620;20100609;1.518;1.185;0.625
1621;20100610;1.518;1.186;0.624
1622;20100611;1.519;1.188;0.627
1623;20100612;1.519;1.191;0.625
1624;20100613;1.518;1.19;0.627
1625;20100614;1.518;1.191;0.625
1626;20100615;1.519;1.189;0.625
1627;20100616;1.518;1.188;0.625
1628;20100617;1.518;1.188;0.621
1629;20100618;1.525;1.194;0.626
1630;20100619;1.527;1.195;0.627
1631;20100620;1.527;1.196;0.625
1632;20100621;1.527;1.196;0.625
1633;20100622;1.528;1.203;0.63
1634;20100623;1.528;1.206;0.629
1635;20100624;1.528;1.206;0.629
1636;20100625;1.527;1.204;0.63
1637;20100626;1.522;1.199;0.625
1638;20100627;1.522;1.199;0.626
1639;20100628;1.522;1.198;0.63
1640;20100629;1.525;1.198;0.628
1641;20100630;1.525;1.197;0.629
1642;20100701;1.522;1.196;0.627
1643;20100702;1.516;1.189;0.626
1644;20100703;1.506;1.18;0.624
1645;20100704;1.506;1.179;0.628
1646;20100705;1.507;1.179;0.623
1647;20100706;1.5;1.172;0.623
1648;20100707;1.5;1.168;0.619
1649;20100708;1.498;1.166;0.615
1650;20100709;1.498;1.166;0.618
1651;20100710;1.498;1.167;0.609
1652;20100711;1.499;1.165;0.62
1653;20100712;1.499;1.167;0.612
1654;20100713;1.499;1.166;0.614
1655;20100714;1.499;1.169;0.612
1656;20100715;1.499;1.171;0.612
1657;20100716;1.499;1.171;0.614
1658;20100717;1.497;1.167;0.608
1659;20100718;1.498;1.166;0.612
1660;20100719;1.498;1.167;0.609
1661;20100720;1.493;1.164;0.608
1662;20100721;1.49;1.158;0.605
1663;20100722;1.489;1.157;0.605
1664;20100723;1.49;1.157;0.601
1665;20100724;1.495;1.161;0.601
1666;20100725;1.494;1.161;0.603
1667;20100726;1.495;1.161;0.602
1668;20100727;1.498;1.163;0.603
1669;20100728;1.498;1.166;0.602
1670;20100729;1.499;1.166;0.604
1671;20100730;1.499;1.167;0.601
1672;20100731;1.498;1.163;0.598
1673;20100801;1.498;1.163;0.594
1674;20100802;1.499;1.164;0.603
1675;20100803;1.498;1.165;0.601
1676;20100804;1.499;1.165;0.6
1677;20100805;1.499;1.168;0.601
1678;20100806;1.499;1.172;0.6
1679;20100807;1.499;1.173;0.603
1680;20100808;1.498;1.173;0.601
1681;20100809;1.5;1.174;0.599
1682;20100810;1.498;1.175;0.603
1683;20100811;1.499;1.176;0.603
1684;20100812;1.499;1.177;0.607
1685;20100813;1.499;1.177;0.597
1686;20100814;1.494;1.171;0.603
1687;20100815;1.494;1.171;0.602
1688;20100816;1.494;1.171;0.6
1689;20100817;1.492;1.168;0.601
1690;20100818;1.489;1.167;0.601
1691;20100819;1.489;1.167;0.601
1692;20100820;1.489;1.167;0.602
1693;20100821;1.487;1.167;0.603
1694;20100822;1.489;1.166;0.604
1695;20100823;1.489;1.167;0.6
1696;20100824;1.486;1.167;0.603
1697;20100825;1.482;1.166;0.604
1698;20100826;1.479;1.16;0.606
1699;20100827;1.479;1.16;0.605
1700;20100828;1.479;1.161;0.604
1701;20100829;1.479;1.162;0.606
1702;20100830;1.478;1.161;0.604
1703;20100831;1.479;1.164;0.611
1704;20100901;1.483;1.168;0.611
1705;20100902;1.486;1.169;0.608
1706;20100903;1.486;1.166;0.609
1707;20100904;1.487;1.166;0.612
1708;20100905;1.487;1.166;0.615
1709;20100906;1.488;1.167;0.617
1710;20100907;1.488;1.166;0.614
1711;20100908;1.488;1.166;0.622
1712;20100909;1.493;1.172;0.627
1713;20100910;1.497;1.176;0.628
1714;20100911;1.504;1.183;0.628
1715;20100912;1.505;1.183;0.635
1716;20100913;1.506;1.184;0.634
1717;20100914;1.508;1.186;0.637
1718;20100915;1.508;1.186;0.642
1719;20100916;1.507;1.185;0.642
1720;20100917;1.508;1.186;0.642
1721;20100918;1.507;1.185;0.645
1722;20100919;1.507;1.185;0.64
1723;20100920;1.508;1.186;0.646
1724;20100921;1.507;1.185;0.646
1725;20100922;1.508;1.186;0.645
1726;20100923;1.505;1.183;0.644
1727;20100924;1.494;1.177;0.647
1728;20100925;1.489;1.176;0.645
1729;20100926;1.488;1.175;0.648
1730;20100927;1.489;1.176;0.645
1731;20100928;1.488;1.176;0.65
1732;20100929;1.481;1.171;0.645
1733;20100930;1.479;1.167;0.645
1734;20101001;1.479;1.168;0.642
1735;20101002;1.48;1.176;0.643
1736;20101003;1.479;1.175;0.641
1737;20101004;1.48;1.177;0.64
1738;20101005;1.487;1.184;0.64
1739;20101006;1.488;1.185;0.641
1740;20101007;1.488;1.185;0.638
1741;20101008;1.489;1.185;0.641
1742;20101009;1.49;1.184;0.639
1743;20101010;1.491;1.185;0.638
1744;20101011;1.492;1.185;0.642
1745;20101012;1.497;1.186;0.638
1746;20101013;1.498;1.185;0.643
1747;20101014;1.498;1.186;0.641
1748;20101015;1.498;1.186;0.644
1749;20101016;1.497;1.185;0.64
1750;20101017;1.496;1.185;0.646
1751;20101018;1.498;1.186;0.643
1752;20101019;1.499;1.185;0.641
1753;20101020;1.501;1.185;0.645
1754;20101021;1.502;1.185;0.644
1755;20101022;1.498;1.185;0.645
1756;20101023;1.497;1.184;0.643
1757;20101024;1.497;1.185;0.65
1758;20101025;1.497;1.186;0.647
1759;20101026;1.497;1.185;0.648
1760;20101027;1.498;1.186;0.652
1761;20101028;1.498;1.185;0.652
1762;20101029;1.498;1.186;0.653
1763;20101030;1.495;1.185;0.65
1764;20101031;1.494;1.184;0.65
1765;20101101;1.496;1.185;0.655
1766;20101102;1.494;1.185;0.656
1767;20101103;1.49;1.185;0.655
1768;20101104;1.49;1.185;0.661
1769;20101105;1.491;1.185;0.663
1770;20101106;1.496;1.186;0.664
1771;20101107;1.495;1.186;0.663
1772;20101108;1.495;1.187;0.662
1773;20101109;1.499;1.19;0.664
1774;20101110;1.501;1.195;0.669
1775;20101111;1.503;1.2;0.67
1776;20101112;1.51;1.209;0.674
1777;20101113;1.513;1.208;0.677
1778;20101114;1.513;1.208;0.681
1779;20101115;1.514;1.209;0.675
1780;20101116;1.517;1.212;0.686
1781;20101117;1.517;1.212;0.684
1782;20101118;1.516;1.212;0.69
1783;20101119;1.516;1.209;0.69
1784;20101120;1.512;1.206;0.689
1785;20101121;1.511;1.205;0.689
1786;20101122;1.513;1.206;0.695
1787;20101123;1.51;1.203;0.694
1788;20101124;1.508;1.199;0.695
1789;20101125;1.507;1.199;0.696
1790;20101126;1.514;1.206;0.7
1791;20101127;1.517;1.207;0.701
1792;20101128;1.517;1.207;0.701
1793;20101129;1.517;1.208;0.704
1794;20101130;1.525;1.214;0.707
1795;20101201;1.534;1.224;0.707
1796;20101202;1.538;1.227;0.716
1797;20101203;1.549;1.235;0.724
1798;20101204;1.561;1.24;0.735
1799;20101205;1.56;1.24;0.731
1800;20101206;1.562;1.241;0.733
1801;20101207;1.569;1.246;0.739
1802;20101208;1.571;1.246;0.751
1803;20101209;1.571;1.245;0.753
1804;20101210;1.571;1.245;0.752
1805;20101211;1.571;1.245;0.757
1806;20101212;1.571;1.244;0.754
1807;20101213;1.571;1.245;0.756
1808;20101214;1.574;1.249;0.759
1809;20101215;1.572;1.25;0.761
1810;20101216;1.568;1.251;0.76
1811;20101217;1.568;1.253;0.76
1812;20101218;1.568;1.253;0.759
1813;20101219;1.567;1.254;0.763
1814;20101220;1.568;1.254;0.761
1815;20101221;1.57;1.255;0.762
1816;20101222;1.571;1.255;0.764
1817;20101223;1.573;1.259;0.755
1818;20101224;1.577;1.263;0.76
1819;20101225;1.579;1.264;0.765
1820;20101226;1.579;1.265;0.76
1821;20101227;1.58;1.266;0.762
1822;20101228;1.582;1.267;0.762
1823;20101229;1.584;1.266;0.765
1824;20101230;1.584;1.268;0.765
1825;20101231;1.584;1.269;0.764
1826;20110101;1.583;1.268;0.775
1827;20110102;1.583;1.269;0.763
1828;20110103;1.585;1.269;0.765
1829;20110104;1.588;1.273;0.769
1830;20110105;1.587;1.273;0.769
1831;20110106;1.587;1.273;0.764
1832;20110107;1.589;1.277;0.771
1833;20110108;1.593;1.279;0.766
1834;20110109;1.593;1.279;0.771
1835;20110110;1.593;1.28;0.768
1836;20110111;1.598;1.283;0.769
1837;20110112;1.601;1.291;0.766
1838;20110113;1.61;1.3;0.766
1839;20110114;1.611;1.302;0.763
1840;20110115;1.609;1.301;0.762
1841;20110116;1.609;1.3;0.763
1842;20110117;1.61;1.301;0.765
1843;20110118;1.608;1.301;0.762
1844;20110119;1.606;1.301;0.759
1845;20110120;1.607;1.3;0.759
1846;20110121;1.604;1.299;0.752
1847;20110122;1.596;1.296;0.749
1848;20110123;1.594;1.296;0.749
1849;20110124;1.595;1.296;0.747
1850;20110125;1.591;1.295;0.751
1851;20110126;1.582;1.287;0.733
1852;20110127;1.578;1.285;0.73
1853;20110128;1.578;1.285;0.723
1854;20110129;1.574;1.285;0.717
1855;20110130;1.572;1.284;0.715
1856;20110131;1.573;1.285;0.714
1857;20110201;1.573;1.284;0.703
1858;20110202;1.578;1.287;0.695
1859;20110203;1.581;1.289;0.694
1860;20110204;1.584;1.292;0.694
1861;20110205;1.584;1.297;0.692
1862;20110206;1.583;1.298;0.693
1863;20110207;1.584;1.299;0.692
1864;20110208;1.585;1.304;0.692
1865;20110209;1.583;1.303;0.692
1866;20110210;1.585;1.305;0.691
1867;20110211;1.587;1.312;0.687
1868;20110212;1.587;1.312;0.692
1869;20110213;1.587;1.312;0.69
1870;20110214;1.588;1.313;0.691
1871;20110215;1.59;1.314;0.692
1872;20110216;1.596;1.317;0.695
1873;20110217;1.597;1.319;0.695
1874;20110218;1.599;1.318;0.695
1875;20110219;1.603;1.317;0.693
1876;20110220;1.602;1.317;0.694
1877;20110221;1.604;1.318;0.695
1878;20110222;1.607;1.319;0.694
1879;20110223;1.615;1.325;0.696
1880;20110224;1.619;1.329;0.697
1881;20110225;1.63;1.341;0.699
1882;20110226;1.632;1.344;0.697
1883;20110227;1.631;1.343;0.693
1884;20110228;1.633;1.344;0.694
1885;20110301;1.636;1.344;0.697
1886;20110302;1.636;1.345;0.695
1887;20110303;1.637;1.353;0.697
1888;20110304;1.643;1.361;0.696
1889;20110305;1.647;1.365;0.697
1890;20110306;1.646;1.365;0.695
1891;20110307;1.647;1.365;0.697
1892;20110308;1.652;1.372;0.704
1893;20110309;1.652;1.374;0.702
1894;20110310;1.647;1.371;0.705
1895;20110311;1.65;1.374;0.705
1896;20110312;1.648;1.373;0.705
1897;20110313;1.648;1.373;0.701
1898;20110314;1.648;1.373;0.703
1899;20110315;1.645;1.374;0.706
1900;20110316;1.634;1.367;0.706
1901;20110317;1.622;1.364;0.707
1902;20110318;1.619;1.364;0.702
1903;20110319;1.617;1.362;0.706
1904;20110320;1.617;1.362;0.702
1905;20110321;1.617;1.363;0.706
1906;20110322;1.619;1.361;0.701
1907;20110323;1.62;1.36;0.705
1908;20110324;1.62;1.359;0.704
1909;20110325;1.622;1.36;0.706
1910;20110326;1.623;1.36;0.704
1911;20110327;1.622;1.359;0.708
1912;20110328;1.622;1.36;0.702
1913;20110329;1.624;1.36;0.707
1914;20110330;1.621;1.358;0.705
1915;20110331;1.63;1.36;0.709
1916;20110401;1.644;1.364;0.718
1917;20110402;1.652;1.366;0.717
1918;20110403;1.652;1.366;0.718
1919;20110404;1.653;1.367;0.717
1920;20110405;1.666;1.372;0.725
1921;20110406;1.674;1.375;0.729
1922;20110407;1.675;1.377;0.735
1923;20110408;1.679;1.381;0.732
1924;20110409;1.686;1.384;0.736
1925;20110410;1.686;1.383;0.73
1926;20110411;1.686;1.384;0.738
1927;20110412;1.688;1.386;0.736
1928;20110413;1.693;1.387;0.738
1929;20110414;1.692;1.381;0.737
1930;20110415;1.694;1.382;0.738
1931;20110416;1.694;1.381;0.739
1932;20110417;1.694;1.381;0.737
1933;20110418;1.695;1.382;0.737
1934;20110419;1.695;1.383;0.736
1935;20110420;1.695;1.379;0.74
1936;20110421;1.694;1.376;0.74
1937;20110422;1.696;1.375;0.741
1938;20110423;1.697;1.374;0.738
1939;20110424;1.697;1.374;0.736
1940;20110425;1.698;1.374;0.735
1941;20110426;1.697;1.375;0.738
1942;20110427;1.698;1.374;0.736
1943;20110428;1.698;1.373;0.736
1944;20110429;1.701;1.374;0.739
1945;20110430;1.699;1.373;0.736
1946;20110501;1.698;1.373;0.732
1947;20110502;1.699;1.374;0.735
1948;20110503;1.699;1.373;0.737
1949;20110504;1.7;1.374;0.737
1950;20110505;1.699;1.374;0.735
1951;20110506;1.698;1.367;0.735
1952;20110507;1.682;1.349;0.734
1953;20110508;1.682;1.347;0.732
1954;20110509;1.681;1.347;0.729
1955;20110510;1.678;1.345;0.729
1956;20110511;1.686;1.345;0.73
1957;20110512;1.695;1.345;0.721
1958;20110513;1.695;1.344;0.728
1959;20110514;1.69;1.34;0.727
1960;20110515;1.69;1.339;0.725
1961;20110516;1.69;1.341;0.722
1962;20110517;1.686;1.335;0.726
1963;20110518;1.683;1.332;0.722
1964;20110519;1.676;1.328;0.724
1965;20110520;1.675;1.327;0.724
1966;20110521;1.672;1.325;0.719
1967;20110522;1.672;1.324;0.719
1968;20110523;1.673;1.325;0.717
1969;20110524;1.667;1.324;0.712
1970;20110525;1.668;1.326;0.706
1971;20110526;1.669;1.328;0.706
1972;20110527;1.671;1.332;0.704
1973;20110528;1.671;1.332;0.706
1974;20110529;1.671;1.331;0.703
1975;20110530;1.672;1.332;0.707
1976;20110531;1.675;1.333;0.706
1977;20110601;1.675;1.335;0.703
1978;20110602;1.674;1.336;0.698
1979;20110603;1.675;1.337;0.704
1980;20110604;1.672;1.335;0.701
1981;20110605;1.671;1.335;0.698
1982;20110606;1.671;1.336;0.701
1983;20110607;1.663;1.33;0.705
1984;20110608;1.656;1.325;0.69
1985;20110609;1.651;1.326;0.685
1986;20110610;1.649;1.327;0.682
1987;20110611;1.649;1.334;0.68
1988;20110612;1.649;1.334;0.678
1989;20110613;1.649;1.333;0.684
1990;20110614;1.65;1.336;0.682
1991;20110615;1.65;1.345;0.68
1992;20110616;1.651;1.351;0.682
1993;20110617;1.651;1.352;0.684
1994;20110618;1.645;1.347;0.68
1995;20110619;1.644;1.347;0.677
1996;20110620;1.644;1.348;0.678
1997;20110621;1.638;1.344;0.683
1998;20110622;1.636;1.341;0.678
1999;20110623;1.634;1.334;0.679
2000;20110624;1.631;1.333;0.674
2001;20110625;1.625;1.324;0.671
2002;20110626;1.624;1.323;0.678
2003;20110627;1.624;1.323;0.674
2004;20110628;1.615;1.316;0.672
2005;20110629;1.607;1.311;0.675
2006;20110630;1.611;1.312;0.675
2007;20110701;1.618;1.316;0.675
2008;20110702;1.619;1.316;0.675
2009;20110703;1.619;1.315;0.674
2010;20110704;1.62;1.316;0.674
2011;20110705;1.622;1.319;0.676
2012;20110706;1.624;1.32;0.676
2013;20110707;1.627;1.323;0.676
2014;20110708;1.636;1.329;0.68
2015;20110709;1.647;1.342;0.681
2016;20110710;1.648;1.343;0.689
2017;20110711;1.649;1.343;0.683
2018;20110712;1.657;1.35;0.687
2019;20110713;1.664;1.354;0.689
2020;20110714;1.669;1.357;0.688
2021;20110715;1.675;1.361;0.689
2022;20110716;1.675;1.36;0.69
2023;20110717;1.674;1.36;0.691
2024;20110718;1.675;1.361;0.689
2025;20110719;1.677;1.363;0.692
2026;20110720;1.676;1.363;0.695
2027;20110721;1.679;1.363;0.696
2028;20110722;1.679;1.363;0.698
2029;20110723;1.679;1.363;0.7
2030;20110724;1.68;1.363;0.692
2031;20110725;1.679;1.365;0.697
2032;20110726;1.68;1.366;0.7
2033;20110727;1.675;1.362;0.702
2034;20110728;1.672;1.359;0.703
2035;20110729;1.672;1.358;0.704
2036;20110730;1.671;1.357;0.706
2037;20110731;1.67;1.356;0.71
2038;20110801;1.671;1.358;0.701
2039;20110802;1.672;1.361;0.704
2040;20110803;1.672;1.358;0.701
2041;20110804;1.672;1.356;0.707
2042;20110805;1.669;1.355;0.703
2043;20110806;1.658;1.346;0.707
2044;20110807;1.656;1.345;0.702
2045;20110808;1.656;1.346;0.707
2046;20110809;1.649;1.338;0.707
2047;20110810;1.636;1.326;0.701
2048;20110811;1.628;1.321;0.703
2049;20110812;1.625;1.32;0.702
2050;20110813;1.627;1.322;0.699
2051;20110814;1.627;1.323;0.7
2052;20110815;1.627;1.324;0.696
2053;20110816;1.627;1.322;0.693
2054;20110817;1.625;1.321;0.689
2055;20110818;1.625;1.321;0.688
2056;20110819;1.623;1.32;0.687
2057;20110820;1.615;1.31;0.689
2058;20110821;1.614;1.309;0.686
2059;20110822;1.615;1.31;0.685
2060;20110823;1.613;1.308;0.684
2061;20110824;1.612;1.309;0.684
2062;20110825;1.618;1.308;0.688
2063;20110826;1.623;1.313;0.689
2064;20110827;1.628;1.316;0.679
2065;20110828;1.628;1.316;0.685
2066;20110829;1.628;1.317;0.684
2067;20110830;1.63;1.32;0.688
2068;20110831;1.639;1.325;0.684
2069;20110901;1.646;1.331;0.686
2070;20110902;1.655;1.335;0.685
2071;20110903;1.662;1.335;0.686
2072;20110904;1.662;1.335;0.686
2073;20110905;1.663;1.337;0.682
2074;20110906;1.666;1.338;0.689
2075;20110907;1.668;1.339;0.688
2076;20110908;1.674;1.343;0.688
2077;20110909;1.682;1.349;0.688
2078;20110910;1.686;1.354;0.69
2079;20110911;1.686;1.354;0.689
2080;20110912;1.687;1.355;0.693
2081;20110913;1.686;1.354;0.693
2082;20110914;1.685;1.353;0.697
2083;20110915;1.678;1.352;0.697
2084;20110916;1.678;1.356;0.698
2085;20110917;1.679;1.355;0.694
2086;20110918;1.678;1.355;0.691
2087;20110919;1.679;1.356;0.702
2088;20110920;1.681;1.355;0.702
2089;20110921;1.68;1.355;0.7
2090;20110922;1.679;1.353;0.702
2091;20110923;1.681;1.354;0.701
2092;20110924;1.668;1.352;0.699
2093;20110925;1.667;1.351;0.702
2094;20110926;1.667;1.352;0.699
2095;20110927;1.659;1.352;0.702
2096;20110928;1.648;1.352;0.703
2097;20110929;1.642;1.349;0.701
2098;20110930;1.641;1.349;0.701
2099;20111001;1.634;1.341;0.697
2100;20111002;1.633;1.341;0.698
2101;20111003;1.634;1.342;0.699
2102;20111004;1.629;1.34;0.7
2103;20111005;1.624;1.339;0.696
2104;20111006;1.62;1.338;0.695
2105;20111007;1.621;1.34;0.693
2106;20111008;1.627;1.344;0.688
2107;20111009;1.627;1.344;0.688
2108;20111010;1.628;1.346;0.695
2109;20111011;1.635;1.35;0.694
2110;20111012;1.638;1.35;0.691
2111;20111013;1.64;1.348;0.693
2112;20111014;1.641;1.348;0.69
2113;20111015;1.641;1.359;0.69
2114;20111016;1.64;1.359;0.685
2115;20111017;1.641;1.361;0.69
2116;20111018;1.645;1.369;0.684
2117;20111019;1.645;1.37;0.686
2118;20111020;1.644;1.372;0.685
2119;20111021;1.644;1.374;0.679
2120;20111022;1.635;1.378;0.676
2121;20111023;1.634;1.378;0.674
2122;20111024;1.635;1.379;0.672
2123;20111025;1.633;1.381;0.675
2124;20111026;1.631;1.382;0.672
2125;20111027;1.63;1.381;0.673
2126;20111028;1.631;1.382;0.672
2127;20111029;1.63;1.381;0.676
2128;20111030;1.629;1.381;0.668
2129;20111031;1.63;1.382;0.674
2130;20111101;1.623;1.381;0.671
2131;20111102;1.621;1.381;0.666
2132;20111103;1.62;1.384;0.67
2133;20111104;1.621;1.384;0.671
2134;20111105;1.621;1.383;0.667
2135;20111106;1.621;1.382;0.665
2136;20111107;1.621;1.384;0.668
2137;20111108;1.627;1.389;0.666
2138;20111109;1.632;1.394;0.668
2139;20111110;1.633;1.394;0.666
2140;20111111;1.633;1.397;0.668
2141;20111112;1.629;1.403;0.664
2142;20111113;1.629;1.402;0.662
2143;20111114;1.63;1.404;0.672
2144;20111115;1.625;1.404;0.67
2145;20111116;1.621;1.407;0.678
2146;20111117;1.619;1.407;0.678
2147;20111118;1.621;1.407;0.677
2148;20111119;1.614;1.4;0.682
2149;20111120;1.613;1.401;0.668
2150;20111121;1.614;1.401;0.679
2151;20111122;1.611;1.4;0.681
2152;20111123;1.605;1.391;0.674
2153;20111124;1.602;1.389;0.672
2154;20111125;1.604;1.388;0.673
2155;20111126;1.603;1.387;0.675
2156;20111127;1.602;1.387;0.679
2157;20111128;1.604;1.388;0.675
2158;20111129;1.604;1.388;0.673
2159;20111130;1.604;1.389;0.67
2160;20111201;1.607;1.391;0.673
2161;20111202;1.606;1.391;0.672
2162;20111203;1.606;1.387;0.673
2163;20111204;1.605;1.387;0.672
2164;20111205;1.607;1.388;0.674
2165;20111206;1.615;1.389;0.673
2166;20111207;1.618;1.389;0.673
2167;20111208;1.619;1.388;0.676
2168;20111209;1.619;1.388;0.672
2169;20111210;1.617;1.379;0.669
2170;20111211;1.616;1.378;0.667
2171;20111212;1.617;1.379;0.671
2172;20111213;1.618;1.378;0.672
2173;20111214;1.619;1.378;0.671
2174;20111215;1.623;1.378;0.672
2175;20111216;1.624;1.379;0.674
2176;20111217;1.623;1.375;0.673
2177;20111218;1.622;1.375;0.669
2178;20111219;1.623;1.375;0.682
2179;20111220;1.623;1.372;0.676
2180;20111221;1.623;1.37;0.677
2181;20111222;1.624;1.37;0.681
2182;20111223;1.629;1.372;0.683
2183;20111224;1.631;1.375;0.679
2184;20111225;1.63;1.374;0.681
2185;20111226;1.631;1.375;0.686
2186;20111227;1.633;1.376;0.685
2187;20111228;1.632;1.376;0.683
2188;20111229;1.635;1.378;0.685
2189;20111230;1.643;1.383;0.684
2190;20111231;1.651;1.386;0.692
2191;20120101;1.651;1.386;0.704
2192;20120102;1.653;1.388;0.704
2193;20120103;1.657;1.391;0.705
2194;20120104;1.663;1.394;0.709
2195;20120105;1.671;1.402;0.708
2196;20120106;1.683;1.414;0.714
2197;20120107;1.69;1.419;0.714
2198;20120108;1.69;1.419;0.707
2199;20120109;1.691;1.42;0.718
2200;20120110;1.692;1.424;0.723
2201;20120111;1.693;1.431;0.728
2202;20120112;1.696;1.438;0.726
2203;20120113;1.696;1.44;0.736
2204;20120114;1.695;1.437;0.727
2205;20120115;1.695;1.437;0.732
2206;20120116;1.697;1.439;0.734
2207;20120117;1.696;1.439;0.735
2208;20120118;1.696;1.438;0.74
2209;20120119;1.697;1.437;0.74
2210;20120120;1.697;1.437;0.741
2211;20120121;1.696;1.43;0.739
2212;20120122;1.695;1.43;0.745
2213;20120123;1.696;1.432;0.741
2214;20120124;1.691;1.427;0.744
2215;20120125;1.692;1.422;0.742
2216;20120126;1.692;1.417;0.743
2217;20120127;1.693;1.416;0.744
2218;20120128;1.692;1.414;0.748
2219;20120129;1.692;1.414;0.745
2220;20120130;1.694;1.415;0.744
2221;20120131;1.695;1.414;0.742
2222;20120201;1.696;1.414;0.743
2223;20120202;1.698;1.415;0.746
2224;20120203;1.698;1.415;0.754
2225;20120204;1.698;1.414;0.758
2226;20120205;1.699;1.414;0.758
2227;20120206;1.7;1.415;0.758
2228;20120207;1.705;1.42;0.765
2229;20120208;1.709;1.425;0.771
2230;20120209;1.709;1.425;0.772
2231;20120210;1.713;1.425;0.78
2232;20120211;1.712;1.424;0.782
2233;20120212;1.715;1.426;0.778
2234;20120213;1.716;1.428;0.787
2235;20120214;1.72;1.429;0.784
2236;20120215;1.724;1.433;0.788
2237;20120216;1.728;1.435;0.791
2238;20120217;1.732;1.44;0.797
2239;20120218;1.734;1.442;0.797
2240;20120219;1.735;1.442;0.797
2241;20120220;1.736;1.444;0.795
2242;20120221;1.74;1.444;0.808
2243;20120222;1.74;1.445;0.807
2244;20120223;1.741;1.448;0.812
2245;20120224;1.743;1.447;0.81
2246;20120225;1.742;1.445;0.812
2247;20120226;1.742;1.445;0.815
2248;20120227;1.743;1.447;0.814
2249;20120228;1.743;1.447;0.813
2250;20120229;1.745;1.447;0.815
2251;20120301;1.742;1.446;0.814
2252;20120302;1.743;1.447;0.811
2253;20120303;1.751;1.446;0.814
2254;20120304;1.75;1.445;0.818
2255;20120305;1.751;1.447;0.818
2256;20120306;1.756;1.447;0.818
2257;20120307;1.758;1.447;0.822
2258;20120308;1.759;1.445;0.821
2259;20120309;1.767;1.448;0.826
2260;20120310;1.769;1.45;0.823
2261;20120311;1.769;1.449;0.825
2262;20120312;1.771;1.452;0.824
2263;20120313;1.776;1.454;0.831
2264;20120314;1.779;1.455;0.832
2265;20120315;1.782;1.459;0.831
2266;20120316;1.788;1.465;0.829
2267;20120317;1.785;1.463;0.83
2268;20120318;1.786;1.463;0.828
2269;20120319;1.788;1.465;0.83
2270;20120320;1.789;1.467;0.828
2271;20120321;1.789;1.466;0.827
2272;20120322;1.787;1.466;0.829
2273;20120323;1.788;1.466;0.824
2274;20120324;1.784;1.462;0.825
2275;20120325;1.785;1.463;0.826
2276;20120326;1.786;1.464;0.826
2277;20120327;1.79;1.464;0.816
2278;20120328;1.794;1.464;0.817
2279;20120329;1.793;1.461;0.81
2280;20120330;1.805;1.462;0.811
2281;20120331;1.809;1.458;0.806
2282;20120401;1.81;1.458;0.806
2283;20120402;1.812;1.459;0.809
2284;20120403;1.811;1.459;0.81
2285;20120404;1.815;1.458;0.808
2286;20120405;1.821;1.457;0.808
2287;20120406;1.824;1.458;0.806
2288;20120407;1.823;1.456;0.799
2289;20120408;1.823;1.456;0.802
2290;20120409;1.823;1.456;0.803
2291;20120410;1.824;1.457;0.806
2292;20120411;1.824;1.457;0.803
2293;20120412;1.818;1.455;0.802
2294;20120413;1.818;1.456;0.801
2295;20120414;1.817;1.455;0.802
2296;20120415;1.815;1.455;0.805
2297;20120416;1.818;1.457;0.799
2298;20120417;1.818;1.457;0.803
2299;20120418;1.817;1.456;0.805
2300;20120419;1.811;1.451;0.802
2301;20120420;1.807;1.449;0.795
2302;20120421;1.8;1.445;0.791
2303;20120422;1.8;1.445;0.797
